,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
870,스타벅스 용인에버랜드R점,8
871,스타필드 안성 찜질스파,6
872,스파렉스24시 불가마사우나,6
873,스포애니 수내점,5
874,스포츠몬스터,6
875,스포츠몬스터 안성점,5
876,시민공원,1
877,시화나래조력공원,1
878,시흥갯골생태공원,1
879,시흥배곧한울공원,1
880,시흥오이도박물관,2
881,식품명인체험홍보관,13
882,신대호수,1
883,신덕고개,7
884,신륵사관광지,2
885,신매대교 인증센터,13
886,신북리조트 스프링폴,6
887,신북리조트스프링폴 야외워터파크,6
888,신사개나리공원,1
889,신장쇼핑몰,8
890,신촌 스타트업 페스티벌,8
891,실학박물관,2
892,심곡서원,2
893,심학산 약천사,2
894,심학산둘레길,7
895,싸리제골,1
896,쌀창고등학교(팝업스토어),13
897,쌈지길,13
898,써니롤러스케이트장,5
899,씨사이드파크,1
900,아난티코드,5
901,아라타워,13
902,아름다운청년전태일기념관,2
903,아모레 성수,13
904,아차산,7
905,아차산 4보루,1
906,아차산1보루,7
907,아차산생태공원,1
908,아차산큰바위얼굴,1
909,아침고요가족동물원,13
910,아침고요수목원,1
911,아쿠아가든카페 미사점,13
912,아쿠아플라넷,6
913,아쿠아플라넷 광교,6
914,아쿠아플라넷 일산,6
915,아쿠아플라넷63,6
916,아쿠아필드 안성,6
917,아쿠아필드 하남,6
918,아트스페이스 광교,8
919,아트스페이스 트인,13
920,안국역 3호선 2번출구,7
921,안다즈 서울강남 수영장,6
922,안다즈호텔 서울강남 수영장,6
923,안산,1
924,안산대부광산퇴적암층,1
925,안산자락길,1
926,안성구포동성당,2
927,안성맞춤랜드,8
928,안성맞춤랜드 숲속공연장,13
929,안성맞춤랜드 잔디공원,1
930,안성맞춤박물관,2
931,안성천,7
932,안성팜랜드,6
933,안성향교,2
934,"안양박물관, 김중섭박물관",2
935,안양예술공원,1
936,안양천,7
937,안양천 가족정원,1
938,안중근공원,1
939,안효공심온선생묘,2
940,안흥지 애련정,1
941,알로하피크닉&키즈카페,13
942,야당역 인근 산책로,7
943,약사사,2
944,양강섬,7
945,양근휴게소 인증센터,13
946,양명교,7
947,양수역 근처 남한강 산책길,7
948,양재근린공원,1
949,양재시민의숲,1
950,양주 천만송이천일홍축제,8
951,양주 천보산 산림욕장,1
952,양주 천일홍 축제(나리공원),8
953,양주관아지,2
954,양주나리농원,1
955,양주대모산성,2
956,양주전통문화축제,8
957,양평 양떼목장,13
958,양평곤충박물관,2
959,양평양떼목장,13
960,양화한강공원,1
961,어거스트 청평,5
962,어메이징파크,13
963,어반리프,13
964,어울림공원,1
965,어촌마을,7
966,에델바이스 스위스 테마파크,6
967,에버랜드,6
968,에버랜드 T익스프레스,6
969,에버랜드 그랜드엠포리엄,6
970,에버랜드 로스트밸리,6
971,에버랜드 롤링엑스트레인,6
972,에버랜드 매직타임레스토랑,6
973,에버랜드 매표소,6
974,에버랜드 블러드시티,6
975,에버랜드 아마존익스프레스,6
976,에버랜드 애니멀원더스테이지,6
977,에버랜드 에스파 포토존,6
978,에버랜드 정문,6
979,에버랜드 카니발광장,6
980,에버랜드 콜롬버스 대탐험,6
981,에버랜드 판다월드,6
982,에버랜드 포시즌스가든,6
983,에버렌드 랩터 레인저,6
984,에스팩토리,13
985,엑스라이프,5
986,엔피아,5
987,여강길 10코스(천년도자길),7
988,여유당,2
989,여의도 문화잇지오 행사장 및 시민공연,8
990,여의도 한강공원,1
991,여의도계절광장,1
992,여의도공원,1
993,여의도공원 롱기스트런,13
994,여의도역근처,7
995,여의도한강공원,1
996,여주곤충박물관,2
997,여주농촌테마공원 본관,6
